sid,link_name,borough,treatment_group,signed_min_distance_m,signed_max_distance_m,nearest_boundary_line_m,wholly_north_of_boundary,geometry_source,metric,polyline
191021,Lexington Ave - Southbound - 86 St to 72 St,Manhattan,control,824.5589574663642,1978.363867753498,824.5589574663642,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,yv{wFhmkbMtw@lh@
21022,72nd Street - Westbound - Lexington Ave to 5th Ave,Manhattan,control,833.02568020515,843.4210782998066,833.02568020515,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,q~ywFnvlbMsK`]
189022,5th Avenue - Southbound - 86 St to 72 St,Manhattan,control,835.3562979881181,1988.1758010349647,835.3562979881181,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,oc|wFrklbMrw@lh@
51043,72nd Street - Eastbound - Broadway to Columbus Ave (9th Ave),Manhattan,control,853.4177754396057,861.0611644973528,853.4177754396057,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,{q{wF~rpbM^qAnFsP
43051,72nd Street - Westbound - Columbus Ave (9th Ave) to Broadway,Manhattan,control,872.5132821989068,880.0529441783455,872.5132821989068,True,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ij{wFb~obMoFtPe@|A
85116,49th Street - Westbound - 10th Ave to 11th Ave,Manhattan,treated,-980.7751783548359,-974.7006613518237,974.7006613518237,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kvxwFprrbMoFzP
116080,11th Avenue - Southbound - 49th St to 42nd St,Manhattan,exempt_in_zone,-1536.1526440849777,-975.686068592111,975.686068592111,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,y}xwFldsbMpZ`S
39085,49th Street - Westbound - 9th Ave to 10th Ave,Manhattan,treated,-987.6341313848244,-980.7751783548359,980.7751783548359,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,{nxwFx`rbMoFvP
109085,10th Avenue - Northbound - 42nd St to 49th St,Manhattan,treated,-1544.3892223697194,-981.7605855951232,981.7605855951232,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,uzwwFxfsbMsZgS
39049,9th Avenue - Southbound - 49th St to 42nd St,Manhattan,treated,-1551.8413646267027,-987.4331601714715,987.4331601714715,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,}nxwF|`rbMxNhJ~JvG
