boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,sample,is_toll_boundary,is_placebo
21,0.12005666974394465,0.0026784899667310837,12.75607483477427,7830,435,90,2,weekday,True,False
22,-0.007803300891220847,0.0024136969438389266,-0.7772934177027149,7830,435,90,2,weekday,False,True
23,-0.09129915704776188,0.002739918947121695,-8.725538393252261,7830,435,90,2,weekday,False,True
0,0.17761721919075435,0.03195667570529222,19.43680525538525,3132,174,90,2,weekend,False,False
1,0.029598916101388192,0.00619326273099162,3.0041318104347883,3132,174,90,2,weekend,False,True
2,-0.09264255915676232,0.06109160235915785,-8.848074371498155,3132,174,90,2,weekend,False,True
3,0.07049789734688644,0.05384757860824964,7.30423131925801,3132,174,90,2,weekend,False,True
4,0.008684593925009546,0.00859726663407041,0.8722414416752927,3132,174,90,2,weekend,False,True
5,-0.13337745207788607,0.004420463286111194,-12.486529165342079,3132,174,90,2,weekend,False,True
6,-0.14335333523982394,0.004523096489975753,-13.35521317623855,3132,174,90,2,weekend,False,True
7,-0.2200913515342944,0.004415773401192895,-19.75545100125665,3132,174,90,2,weekend,False,True
8,-0.1351923526107443,0.0036120979631945544,-12.645213368612627,3132,174,90,2,weekend,False,True
9,-0.2121820087228509,0.004847115255073844,-19.118252766639095,3132,174,90,2,weekend,True,False
10,-0.09067764749174438,0.0034055129060756154,-8.668792811009112,3132,174,90,2,weekend,False,True
11,-0.05087308218899067,0.003056874552682721,-4.96007145249299,3132,174,90,2,weekend,False,True
12,-0.04287883516331854,0.0023784927836673626,-4.197253772404343,3132,174,90,2,weekend,False,True
13,-0.01725837044539934,0.002743166405066586,-1.7110297824587555,3132,174,90,2,weekend,False,True
14,-0.0011448201027480804,0.002693315027322621,-0.11441650462120621,3132,174,90,2,weekend,False,True
15,-0.01985239560501101,0.0025404860933178714,-1.965663438275447,3132,174,90,2,weekend,False,True
16,-0.014044389521241086,0.0026863448689145976,-1.3946227163521416,3132,174,90,2,weekend,False,True
17,-0.013691902525531588,0.0026208431301384125,-1.359859476717613,3132,174,90,2,weekend,False,True
18,-0.01467516923573474,0.002622270741617123,-1.4568013755025744,3132,174,90,2,weekend,False,True
19,-0.022335968078380335,0.002618056308547574,-2.2088367237723756,3132,174,90,2,weekend,False,True
20,-0.011437729228169104,0.003570255937078363,-1.1372567075520896,3132,174,90,2,weekend,False,True
21,0.08640295339437229,0.004558303137707604,9.024555795292317,3132,174,90,2,weekend,True,False
22,0.0017970210008571802,0.003251255881241643,0.17986366107126125,3132,174,90,2,weekend,False,True
23,-0.0576870369805125,0.00388971127719283,-5.60546788081922,3132,174,90,2,weekend,False,True
